Time,Project,Type,Prompt,QualityScore,Quality
2026-05-29 13:02:23,Test AI Video,AI Video,tạo video con hổ trắng dưới ánh trăng,80.0,Tốt
2026-05-29 15:07:08,Báu AI Studio Demo,AI Video,"Tạo video điện ảnh về một con hổ trắng cô độc đi qua vùng tuyết vĩnh cửu dưới ánh trăng xanh, cinematic lighting, ultra realistic, 8K.",,
